,AT,V,AP,RH,PE
0,14.96,41.76,1024.07,73.17,463.26
1,25.18,62.96,1020.04,59.08,444.37
2,5.11,39.4,1012.16,92.14,488.56
3,20.86,57.32,1010.24,76.64,446.48
4,10.82,37.5,1009.23,96.62,473.9
5,26.27,59.44,1012.23,58.77,443.67
6,15.89,43.96,1014.02,75.24,467.35
7,9.48,44.71,1019.12,66.43,478.42
8,14.64,45.0,1021.78,41.25,475.98
9,11.74,43.56,1015.14,70.72,477.5
10,17.99,43.72,1008.64,75.04,453.02
11,20.14,46.93,1014.66,64.22,453.99
12,24.34,73.5,1011.31,84.15,440.29
13,25.71,58.59,1012.77,61.83,451.28
14,26.19,69.34,1009.48,87.59,433.99
15,21.42,43.79,1015.76,43.08,462.19
16,18.21,45.0,1022.86,48.84,467.54
17,11.04,41.74,1022.6,77.51,477.2
18,14.45,52.75,1023.97,63.59,459.85
19,13.97,38.47,1015.15,55.28,464.3
20,17.76,42.42,1009.09,66.26,468.27
21,5.41,40.07,1019.16,64.77,495.24
22,7.76,42.28,1008.52,83.31,483.8
23,27.23,63.9,1014.3,47.19,443.61
24,27.36,48.6,1003.18,54.93,436.06
25,27.47,70.72,1009.97,74.62,443.25
26,14.6,39.31,1011.11,72.52,464.16
27,7.91,39.96,1023.57,88.44,475.52
28,5.81,35.79,1012.14,92.28,484.41
29,30.53,65.18,1012.69,41.85,437.89
30,23.87,63.94,1019.02,44.28,445.11
31,26.09,58.41,1013.64,64.58,438.86
32,29.27,66.85,1011.11,63.25,440.98
33,27.38,74.16,1010.08,78.61,436.65
34,24.81,63.94,1018.76,44.51,444.26
35,12.75,44.03,1007.29,89.46,465.86
36,24.66,63.73,1011.4,74.52,444.37
37,16.38,47.45,1010.08,88.86,450.69
38,13.91,39.35,1014.69,75.51,469.02
39,23.18,51.3,1012.04,78.64,448.86
40,22.47,47.45,1007.62,76.65,447.14
41,13.39,44.85,1017.24,80.44,469.18
42,9.28,41.54,1018.33,79.89,482.8
43,11.82,42.86,1014.12,88.28,476.7
44,10.27,40.64,1020.63,84.6,474.99
45,22.92,63.94,1019.28,42.69,444.22
46,16.0,37.87,1020.24,78.41,461.33
47,21.22,43.43,1010.96,61.07,448.06
48,13.46,44.71,1014.51,50.0,474.6
49,9.39,40.11,1029.14,77.29,473.05
50,31.07,73.5,1010.58,43.66,432.06
51,12.82,38.62,1018.71,83.8,467.41
52,32.57,78.92,1011.6,66.47,430.12
53,8.11,42.18,1014.82,93.09,473.62
54,13.92,39.39,1012.94,80.52,471.81
55,23.04,59.43,1010.23,68.99,442.99
56,27.31,64.44,1014.65,57.27,442.77
57,5.91,39.33,1010.18,95.53,491.49
58,25.26,61.08,1013.68,71.72,447.46
59,27.97,58.84,1002.25,57.88,446.11
60,26.08,52.3,1007.03,63.34,442.44
61,29.01,65.71,1013.61,48.07,446.22
62,12.18,40.1,1016.67,91.87,471.49
63,13.76,45.87,1008.89,87.27,463.5
64,25.5,58.79,1016.02,64.4,440.01
65,28.26,65.34,1014.56,43.4,441.03
66,21.39,62.96,1019.49,72.24,452.68
67,7.26,40.69,1020.43,90.22,474.91
68,10.54,34.03,1018.71,74.0,478.77
69,27.71,74.34,998.14,71.85,434.2
70,23.11,68.3,1017.83,86.62,437.91
71,7.51,41.01,1024.61,97.41,477.61
72,26.46,74.67,1016.65,84.44,431.65
73,29.34,74.34,998.58,81.55,430.57
74,10.32,42.28,1008.82,75.66,481.09
75,22.74,61.02,1009.56,79.41,445.56
76,13.48,39.85,1012.71,58.91,475.74
